Sample,Species,Host,Country,
SRX2995989,DEER,RESERVOIR,USA,
SRX4901490,DEER,RESERVOIR,USA,
SRX2995990,DEER,RESERVOIR,USA,
SRX4901491,DEER,RESERVOIR,USA,
SRX4901492,DEER,RESERVOIR,USA,
SRX2995987,DEER,RESERVOIR,USA,
SRX4901493,DEER,RESERVOIR,USA,
SRX4901494,DEER,RESERVOIR,USA,
SRX4901495,DEER,RESERVOIR,USA,
SRX2995988,DEER,RESERVOIR,USA,
SRX2995993,DEER,RESERVOIR,USA,
SRX4901496,DEER,RESERVOIR,USA,
SRX2995994,DEER,RESERVOIR,USA,
SRX4901497,DEER,RESERVOIR,USA,
SRX2995991,DEER,RESERVOIR,USA,
SRX4901486,DEER,RESERVOIR,USA,
SRX4901487,DEER,RESERVOIR,USA,
SRX4901516,CATTLE,RESERVOIR,USA,
SRX2995992,ELK,NON-RESERVOIR,USA,
SRX2995995,DEER,RESERVOIR,USA,
SRX4901517,CATTLE,RESERVOIR,USA,
SRX4901514,DEER,RESERVOIR,USA,
SRX4901515,DEER,RESERVOIR,USA,
SRX4901520,DEER,RESERVOIR,USA,
SRX2995996,DEER,RESERVOIR,USA,
SRX2995997,DEER,RESERVOIR,USA,
SRX4901521,DEER,RESERVOIR,USA,
SRX4901518,DEER,RESERVOIR,USA,
SRX2995998,DEER,RESERVOIR,USA,
SRX2995999,DEER,RESERVOIR,USA,
SRX2996000,DEER,RESERVOIR,USA,
SRX4901519,DEER,RESERVOIR,USA,
SRX4901524,DEER,RESERVOIR,USA,
SRX2996001,ELK,NON-RESERVOIR,USA,
SRX4901525,DEER,RESERVOIR,USA,
SRX4901551,DEER,RESERVOIR,USA,
SRX2996002,DEER,RESERVOIR,USA,
SRX4901550,DEER,RESERVOIR,USA,
SRX2996003,DEER,RESERVOIR,USA,
SRX2996004,DEER,RESERVOIR,USA,
SRX2996005,DEER,RESERVOIR,USA,
SRX2996006,DEER,RESERVOIR,USA,
SRX2995969,DEER,RESERVOIR,USA,
SRX2995968,DEER,RESERVOIR,USA,
SRX2995971,ELK,NON-RESERVOIR,USA,
SRX2995970,ELK,NON-RESERVOIR,USA,
SRX2995973,DEER,RESERVOIR,USA,
SRX2995972,DEER,RESERVOIR,USA,
SRX4901549,DEER,RESERVOIR,USA,
SRX4901548,DEER,RESERVOIR,USA,
SRX2995975,DEER,RESERVOIR,USA,
SRX2995974,DEER,RESERVOIR,USA,
SRX2995966,DEER,RESERVOIR,USA,
SRX4901547,DEER,RESERVOIR,USA,
SRX2995965,CATTLE,RESERVOIR,USA,
SRX2996007,CATTLE,RESERVOIR,USA,
SRX2996008,CATTLE,RESERVOIR,USA,
SRX2996013,CATTLE,RESERVOIR,USA,
SRX4901546,CATTLE,RESERVOIR,USA,
SRX4901545,DEER,RESERVOIR,USA,
SRX4901544,DEER,RESERVOIR,USA,
SRX4901543,DEER,RESERVOIR,USA,
SRX2996014,DEER,RESERVOIR,USA,
SRX2996011,DEER,RESERVOIR,USA,
SRX4901542,DEER,RESERVOIR,USA,
SRX2996012,DEER,RESERVOIR,USA,
SRX2996009,ELK,NON-RESERVOIR,USA,
SRX4901506,DEER,RESERVOIR,USA,
SRX4901507,DEER,RESERVOIR,USA,
SRX4901508,DEER,RESERVOIR,USA,
SRX2996010,DEER,RESERVOIR,USA,
SRX2995986,CATTLE,RESERVOIR,USA,
SRX2995967,CATTLE,RESERVOIR,USA,
SRX2995979,DEER,RESERVOIR,USA,
SRX2995978,DEER,RESERVOIR,USA,
SRX2995977,DEER,RESERVOIR,USA,
SRX2995976,CATTLE,RESERVOIR,USA,
SRX2995983,CATTLE,RESERVOIR,USA,
SRX4901509,DEER,RESERVOIR,USA,
SRX4901510,DEER,RESERVOIR,USA,
SRX4901511,DEER,RESERVOIR,USA,
SRX4901512,DEER,RESERVOIR,USA,
SRX2995982,CATTLE,RESERVOIR,USA,
SRX4901513,DEER,RESERVOIR,USA,
SRX2995981,DEER,RESERVOIR,USA,
SRX4901502,DEER,RESERVOIR,USA,
SRX2995980,DEER,RESERVOIR,USA,
SRX4901503,DEER,RESERVOIR,USA,
SRX4901483,DEER,RESERVOIR,USA,
SRX4901482,DEER,RESERVOIR,USA,
SRX4901485,DEER,RESERVOIR,USA,
SRX4901484,DEER,RESERVOIR,USA,
SRX4901479,DEER,RESERVOIR,USA,
SRX4901478,DEER,RESERVOIR,USA,
SRX4901481,DEER,RESERVOIR,USA,
SRX4901480,DEER,RESERVOIR,USA,
SRX4901475,DEER,RESERVOIR,USA,
SRX4901474,DEER,RESERVOIR,USA,
SRX4901528,DEER,RESERVOIR,USA,
SRX4901529,DEER,RESERVOIR,USA,
SRX4901526,DEER,RESERVOIR,USA,
SRX4901527,DEER,RESERVOIR,USA,
SRX4901530,DEER,RESERVOIR,USA,
SRX4901533,DEER,RESERVOIR,USA,
SRX4901522,DEER,RESERVOIR,USA,
SRX4901523,DEER,RESERVOIR,USA,
SRX4901498,DEER,RESERVOIR,USA,
SRX4901500,DEER,RESERVOIR,USA,
SRX2995985,DEER,RESERVOIR,USA,
SRX4901539,DEER,RESERVOIR,USA,
SRX4901538,DEER,RESERVOIR,USA,
SRX4901505,DEER,RESERVOIR,USA,
SRX4901488,DEER,RESERVOIR,USA,
SRX4901534,DEER,RESERVOIR,USA,
SRX4901532,DEER,RESERVOIR,USA,
SRX4901499,DEER,RESERVOIR,USA,
SRX4901504,DEER,RESERVOIR,USA,
SRX4901473,DEER,RESERVOIR,USA,
SRX4901472,DEER,RESERVOIR,USA,
SRX4901501,DEER,RESERVOIR,USA,
SRX4901540,DEER,RESERVOIR,USA,
SRX4901536,DEER,RESERVOIR,USA,
SRX2995984,DEER,RESERVOIR,USA,
SRX4901476,DEER,RESERVOIR,USA,
SRX4901471,DEER,RESERVOIR,USA,
SRX2995962,DEER,RESERVOIR,USA,
SRX4901477,DEER,RESERVOIR,USA,
SRX4901541,DEER,RESERVOIR,USA,
SRX2995963,DEER,RESERVOIR,USA,
SRX4901489,DEER,RESERVOIR,USA,
SRX2995964,DEER,RESERVOIR,USA,
SRX4901531,DEER,RESERVOIR,USA,
SRX4901535,DEER,RESERVOIR,USA,
SRX4901537,DEER,RESERVOIR,USA,
SRX2526901,BOVINE,RESERVOIR,New Zealand,
SRX2526903,BOVINE,RESERVOIR,New Zealand,
SRX2526907,POSSUM,RESERVOIR,New Zealand,
SRX2526909,POSSUM,RESERVOIR,New Zealand,
SRX2526912,BOVINE,RESERVOIR,New Zealand,
SRX2526914,BOVINE,RESERVOIR,New Zealand,
SRX2526917,BOVINE,RESERVOIR,New Zealand,
SRX2526919,POSSUM,RESERVOIR,New Zealand,
SRX2526920,BOVINE,RESERVOIR,New Zealand,
SRX2526923,POSSUM,RESERVOIR,New Zealand,
SRX2526924,BOVINE,RESERVOIR,New Zealand,
SRX2526928,BOVINE,RESERVOIR,New Zealand,
SRX2526930,POSSUM,RESERVOIR,New Zealand,
SRX2526932,BOVINE,RESERVOIR,New Zealand,
SRX2526933,BOVINE,RESERVOIR,New Zealand,
SRX2526934,FERRET,NON-RESERVOIR,New Zealand,
SRX2526935,BOVINE,RESERVOIR,New Zealand,
SRX2526936,BOVINE,RESERVOIR,New Zealand,
SRX2526939,POSSUM,RESERVOIR,New Zealand,
SRX2526940,POSSUM,RESERVOIR,New Zealand,
SRX2526941,FERRET,NON-RESERVOIR,New Zealand,
SRX2526943,POSSUM,RESERVOIR,New Zealand,
SRX2526945,BOVINE,RESERVOIR,New Zealand,
SRX2526946,BOVINE,RESERVOIR,New Zealand,
SRX2526950,BOVINE,RESERVOIR,New Zealand,
SRX2526952,BOVINE,RESERVOIR,New Zealand,
SRX2526954,BOVINE,RESERVOIR,New Zealand,
SRX2526956,POSSUM,RESERVOIR,New Zealand,
SRX2526958,BOVINE,RESERVOIR,New Zealand,
SRX2526960,BOVINE,RESERVOIR,New Zealand,
SRX2526963,POSSUM,RESERVOIR,New Zealand,
SRX2526966,BOVINE,RESERVOIR,New Zealand,
SRX2526967,POSSUM,RESERVOIR,New Zealand,
SRX2526969,BOVINE,RESERVOIR,New Zealand,
SRX2526971,FERRET,NON-RESERVOIR,New Zealand,
SRX2526972,BOVINE,RESERVOIR,New Zealand,
SRX2526973,BOVINE,RESERVOIR,New Zealand,
SRX2526974,BOVINE,RESERVOIR,New Zealand,
SRX2526976,BOVINE,RESERVOIR,New Zealand,
