,fromNZ,fromUSA,fromUK
SRX2526900,1,0,0
SRX2526901,1,0,0
SRX2526902,1,0,0
SRX2526903,1,0,0
SRX2526904,1,0,0
SRX2526905,1,0,0
SRX2526906,1,0,0
SRX2526907,1,0,0
SRX2526908,1,0,0
SRX2526909,1,0,0
SRX2526910,1,0,0
SRX2526911,1,0,0
SRX2526912,1,0,0
SRX2526913,1,0,0
SRX2526914,1,0,0
SRX2526915,1,0,0
SRX2526916,1,0,0
SRX2526917,1,0,0
SRX2526918,1,0,0
SRX2526919,1,0,0
SRX2526920,1,0,0
SRX2526921,1,0,0
SRX2526922,1,0,0
SRX2526923,1,0,0
SRX2526924,1,0,0
SRX2526925,1,0,0
SRX2526926,1,0,0
SRX2526927,1,0,0
SRX2526928,1,0,0
SRX2526929,1,0,0
SRX2526930,1,0,0
SRX2526931,1,0,0
SRX2526932,1,0,0
SRX2526933,1,0,0
SRX2526934,1,0,0
SRX2526935,1,0,0
SRX2526936,1,0,0
SRX2526937,1,0,0
SRX2526938,1,0,0
SRX2526939,1,0,0
SRX2526940,1,0,0
SRX2526941,1,0,0
SRX2526942,1,0,0
SRX2526943,1,0,0
SRX2526944,1,0,0
SRX2526945,1,0,0
SRX2526946,1,0,0
SRX2526947,1,0,0
SRX2526948,1,0,0
SRX2526949,1,0,0
SRX2526950,1,0,0
SRX2526951,1,0,0
SRX2526952,1,0,0
SRX2526953,1,0,0
SRX2526954,1,0,0
SRX2526955,1,0,0
SRX2526956,1,0,0
SRX2526957,1,0,0
SRX2526958,1,0,0
SRX2526959,1,0,0
SRX2526960,1,0,0
SRX2526961,1,0,0
SRX2526962,1,0,0
SRX2526963,1,0,0
SRX2526964,1,0,0
SRX2526965,1,0,0
SRX2526966,1,0,0
SRX2526967,1,0,0
SRX2526968,1,0,0
SRX2526969,1,0,0
SRX2526970,1,0,0
SRX2526971,1,0,0
SRX2526972,1,0,0
SRX2526973,1,0,0
SRX2526974,1,0,0
SRX2526975,1,0,0
SRX2526976,1,0,0
SRX2526977,1,0,0
SRX2526978,1,0,0
SRX2526980,1,0,0
SRX2526981,1,0,0
SRX2526982,1,0,0
SRX2526983,1,0,0
SRX2526984,1,0,0
SRX2526985,1,0,0
SRX2526986,1,0,0
SRX2526987,1,0,0
SRX2526988,1,0,0
SRX2526989,1,0,0
SRX2526990,1,0,0
SRX2526991,1,0,0
SRX2526992,1,0,0
SRX2526993,1,0,0
SRX2526994,1,0,0
SRX2526995,1,0,0
SRX2526996,1,0,0
SRX2526997,1,0,0
SRX2526998,1,0,0
SRX2526999,1,0,0
SRX2527000,1,0,0
SRX2527001,1,0,0
SRX2527002,1,0,0
SRX2527003,1,0,0
SRX2527004,1,0,0
SRX2527005,1,0,0
SRX2527006,1,0,0
SRX2527007,1,0,0
SRX2527008,1,0,0
SRX2527009,1,0,0
SRX2527010,1,0,0
SRX2527011,1,0,0
SRX2527012,1,0,0
SRX2527013,1,0,0
SRX2527014,1,0,0
SRX2527015,1,0,0
SRX2527016,1,0,0
SRX2527017,1,0,0
SRX2527018,1,0,0
SRX2527019,1,0,0
SRX2527020,1,0,0
SRX2527021,1,0,0
SRX2527022,1,0,0
SRX2527023,1,0,0
SRX2527024,1,0,0
SRX2527025,1,0,0
SRX2527026,1,0,0
SRX2527027,1,0,0
SRX2527028,1,0,0
SRX2527029,1,0,0
SRX2527030,1,0,0
SRX2527031,1,0,0
SRX2527032,1,0,0
SRX2527033,1,0,0
SRX2527034,1,0,0
SRX2527035,1,0,0
SRX2527036,1,0,0
SRX2527037,1,0,0
SRX2527038,1,0,0
SRX2527039,1,0,0
SRX2527040,1,0,0
SRX2527041,1,0,0
SRX2527042,1,0,0
SRX2527043,1,0,0
SRX2527044,1,0,0
SRX2527045,1,0,0
SRX2527046,1,0,0
SRX2527047,1,0,0
SRX2527048,1,0,0
SRX2527049,1,0,0
SRX2527050,1,0,0
SRX2527051,1,0,0
SRX2527052,1,0,0
SRX2527053,1,0,0
SRX2527054,1,0,0
SRX2527055,1,0,0
SRX2527056,1,0,0
SRX2527057,1,0,0
SRX2527058,1,0,0
SRX2527059,1,0,0
SRX2527060,1,0,0
SRX2527061,1,0,0
SRX2527062,1,0,0
SRX2527063,1,0,0
SRX2527064,1,0,0
SRX2527065,1,0,0
SRX2527066,1,0,0
SRX2527067,1,0,0
SRX2527068,1,0,0
SRX2527069,1,0,0
SRX2527070,1,0,0
SRX2527071,1,0,0
SRX2527072,1,0,0
SRX2527073,1,0,0
SRX2527074,1,0,0
SRX2527075,1,0,0
SRX2527076,1,0,0
SRX2527077,1,0,0
SRX2527078,1,0,0
SRX2527079,1,0,0
SRX2527080,1,0,0
SRX2527081,1,0,0
SRX2527082,1,0,0
SRX2527083,1,0,0
SRX2527084,1,0,0
SRX2527085,1,0,0
SRX2527086,1,0,0
SRX2527087,1,0,0
SRX2527088,1,0,0
SRX2527089,1,0,0
SRX2527090,1,0,0
SRX2527091,1,0,0
SRX2527092,1,0,0
SRX2527093,1,0,0
SRX2527094,1,0,0
SRX2527095,1,0,0
SRX2527096,1,0,0
SRX2527097,1,0,0
SRX2527098,1,0,0
SRX2527099,1,0,0
SRX2527100,1,0,0
SRX2527101,1,0,0
SRX2527102,1,0,0
SRX2527103,1,0,0
SRX2527104,1,0,0
SRX2527105,1,0,0
SRX2527106,1,0,0
SRX2527107,1,0,0
SRX2527108,1,0,0
SRX2527109,1,0,0
SRX2527110,1,0,0
SRX2527111,1,0,0
SRX2527112,1,0,0
SRX2527113,1,0,0
SRX2527114,1,0,0
SRX2527115,1,0,0
SRX2527116,1,0,0
SRX2527118,1,0,0
SRX2527119,1,0,0
SRX2527120,1,0,0
SRX2527121,1,0,0
SRX2527122,1,0,0
SRX2527123,1,0,0
SRX2527124,1,0,0
SRX2527125,1,0,0
SRX2527126,1,0,0
SRX2527127,1,0,0
SRX2527128,1,0,0
SRX2527129,1,0,0
SRX2527130,1,0,0
SRX2527132,1,0,0
SRX2527133,1,0,0
SRX2527134,1,0,0
SRX2527135,1,0,0
SRX2527136,1,0,0
SRX2527137,1,0,0
SRX2527138,1,0,0
SRX2527139,1,0,0
SRX2527140,1,0,0
SRX2527141,1,0,0
SRX2527142,1,0,0
SRX2527143,1,0,0
SRX2527144,1,0,0
SRX2527145,1,0,0
SRX2527146,1,0,0
SRX2527147,1,0,0
SRX2527148,1,0,0
SRX2527149,1,0,0
SRX2527150,1,0,0
SRX2527151,1,0,0
SRX2527152,1,0,0
SRX2527153,1,0,0
SRX2527154,1,0,0
SRX2527155,1,0,0
SRX2527156,1,0,0
SRX2527157,1,0,0
SRX2527158,1,0,0
SRX2527159,1,0,0
SRX2527160,1,0,0
SRX2527161,1,0,0
SRX2527162,1,0,0
SRX2527163,1,0,0
SRX2527164,1,0,0
SRX2527165,1,0,0
SRX2527166,1,0,0
SRX2527167,1,0,0
SRX2527168,1,0,0
SRX2527169,1,0,0
SRX2527170,1,0,0
SRX2527171,1,0,0
SRX2527172,1,0,0
SRX2527173,1,0,0
SRX2527174,1,0,0
SRX2527175,1,0,0
SRX2527176,1,0,0
SRX2527177,1,0,0
SRX2527178,1,0,0
SRX2527179,1,0,0
SRX2527180,1,0,0
SRX2527181,1,0,0
SRX2527182,1,0,0
SRX2527183,1,0,0
SRX2527184,1,0,0
SRX2527185,1,0,0
SRX2527186,1,0,0
SRX2527187,1,0,0
SRX2527188,1,0,0
SRX2527189,1,0,0
SRX2527190,1,0,0
SRX2527191,1,0,0
SRX2527192,1,0,0
SRX2527193,1,0,0
SRX2527194,1,0,0
SRX2527195,1,0,0
SRX2995962,0,1,0
SRX2995963,0,1,0
SRX2995964,0,1,0
SRX2995965,0,1,0
SRX2995966,0,1,0
SRX2995967,0,1,0
SRX2995968,0,1,0
