Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	Reference length	GC (%)	Reference GC (%)	N50	NG50	N75	NG75	L50	LG50	L75	LG75	# misassemblies	# misassembled contigs	Misassembled contigs length	# local misassemblies	# scaffold gap ext. mis.	# scaffold gap loc. mis.	# unaligned mis. contigs	# unaligned contigs	Unaligned length	Genome fraction (%)	Duplication ratio	# N's per 100 kbp	# mismatches per 100 kbp	# indels per 100 kbp	Largest alignment	Total aligned length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75
SRX2526900.scaffold	91	54	37	35	31	24	4318799	4302882	4269042	4254284	4178022	3905949	68	371303	4312849	4349904	65.60	65.63	204932	204932	126798	126798	9	9	16	16	5	4	825777	13	0	0	0	0 + 2 part	3341	98.987	1.001	0.00	13.68	2.55	371303	4308209	157605	157605	98884	98884	10	10	18	18
SRX2526901.scaffold	149	62	40	39	34	26	4321229	4299904	4259391	4251347	4163223	3871807	74	296355	4309249	4349904	65.61	65.63	183537	183537	98737	98737	10	10	17	17	3	3	680054	11	1	0	0	0 + 0 part	0	99.049	1.000	56.48	15.16	3.55	296355	4308437	164871	164871	82142	82142	11	11	20	20
SRX2526902.scaffold	162	61	42	41	37	28	4323024	4298329	4258838	4252506	4183209	3839328	76	294331	4309064	4349904	65.61	65.63	167155	167155	87708	87648	11	11	19	20	2	2	303867	6	1	2	0	0 + 0 part	0	99.033	1.000	52.17	5.11	1.95	294331	4307497	165203	165203	75604	75604	11	11	21	21
SRX2526903.scaffold	153	59	42	41	37	29	4322953	4298657	4264945	4259642	4181700	3886571	74	294463	4309482	4349904	65.61	65.63	166783	166783	82176	81387	10	10	19	20	1	1	290576	7	1	4	0	0 + 0 part	0	99.009	1.001	52.09	7.34	2.09	294463	4307176	152935	152935	81387	76603	11	11	20	21
SRX2526904.scaffold	209	85	55	52	42	29	4331218	4274532	4214306	4194852	4013701	3485265	116	242440	4296227	4349904	65.48	65.63	111904	111904	60728	60728	12	12	25	25	11	10	437537	8	0	2	0	2 + 0 part	6036	98.496	1.001	11.34	14.10	2.47	242440	4288475	108906	108906	59853	58796	13	13	26	27
SRX2526905.scaffold	174	62	41	40	37	28	4317618	4292537	4251117	4245680	4191713	3880322	73	294242	4300781	4349904	65.61	65.63	185651	185651	98741	81710	10	10	18	19	2	1	192722	7	1	1	0	0 + 0 part	0	98.799	1.001	51.92	12.96	3.54	294242	4297640	149271	149271	81710	81710	10	10	19	19
SRX2526906.scaffold	106	70	45	43	35	28	4311619	4295450	4246075	4231981	4078224	3787046	84	371250	4306280	4349904	65.57	65.63	157696	157696	71241	71241	10	10	20	20	6	5	270004	9	0	0	0	0 + 0 part	0	98.901	1.001	0.00	14.50	2.56	371250	4304451	142953	142953	69353	69353	10	10	21	21
SRX2526907.scaffold	141	55	39	39	35	27	4312936	4292243	4262548	4262548	4197169	3907384	66	393204	4300423	4349904	65.61	65.63	172798	172798	98740	98740	10	10	18	18	3	2	239384	11	1	1	0	0 + 0 part	0	98.806	1.001	47.67	12.70	3.37	393204	4298097	166638	166638	98740	87916	10	10	18	19
SRX2526908.scaffold	150	58	42	40	36	27	4325666	4304653	4271941	4259225	4182315	3838611	71	294407	4313644	4349904	65.61	65.63	167051	167051	87816	87816	10	10	19	19	3	3	454115	4	0	5	0	0 + 0 part	0	99.141	1.000	47.50	7.61	2.02	294407	4312447	154423	154423	82232	82232	11	11	20	20
SRX2526909.scaffold	148	61	43	42	37	29	4323132	4301174	4265620	4260317	4171672	3860174	73	392564	4309916	4349904	65.61	65.63	166992	166992	81632	74996	10	10	19	20	0	0	0	7	1	4	0	0 + 0 part	0	99.040	1.000	56.71	4.39	1.97	392564	4307981	166894	166894	81632	74996	10	10	19	20
