Assembly,# contigs (>= 0 bp),# contigs (>= 1000 bp),# contigs (>= 5000 bp),# contigs (>= 10000 bp),# contigs (>= 25000 bp),# contigs (>= 50000 bp),Total length (>= 0 bp),Total length (>= 1000 bp),Total length (>= 5000 bp),Total length (>= 10000 bp),Total length (>= 25000 bp),Total length (>= 50000 bp),# contigs,Largest contig,Total length,Reference length,GC (%),Reference GC (%),N50,NG50,N75,NG75,L50,LG50,L75,LG75,# misassemblies,# misassembled contigs,Misassembled contigs length,# local misassemblies,# scaffold gap ext. mis.,# scaffold gap loc. mis.,# unaligned mis. contigs,# unaligned contigs,Unaligned length,Genome fraction (%),Duplication ratio,# N's per 100 kbp,# mismatches per 100 kbp,# indels per 100 kbp,Largest alignment,Total aligned length,NA50,NGA50,NA75,NGA75,LA50,LGA50,LA75,LGA75
SRX2526900.scaffold,90,53,36,35,32,25,4322741,4306243,4271414,4262576,4209316,3938701,66,323528,4315970,4349904,65.61,65.63,204932,204932,126798,126798,9,9,16,16,2,1,193372,9,0,1,0,0 + 2 part,2729,99.081,1.001,4.59,13.74,2.74,323528,4310867,204932,204932,126798,126798,9,9,16,16
SRX2526901.scaffold,140,56,36,35,32,26,4321171,4301574,4265672,4257628,4209803,3996243,66,393474,4309169,4349904,65.61,65.63,185497,185497,106219,106219,9,9,16,16,3,3,679897,12,1,0,0,0 + 0 part,0,99.031,1,56.25,14.09,3.46,393474,4307665,182607,182607,98737,87936,10,10,18,19
SRX2526902.scaffold,151,52,36,36,33,27,4326271,4302404,4270784,4270784,4221769,4006389,66,392702,4312870,4349904,65.62,65.63,184703,184703,106297,106297,9,9,17,17,0,0,0,6,1,1,0,0 + 0 part,0,99.127,1,62.88,4.27,2.06,392702,4312580,184703,184703,106297,106297,9,9,17,17
SRX2526903.scaffold,150,55,38,37,34,27,4326280,4302436,4269790,4264487,4216462,3953911,69,392676,4312648,4349904,65.62,65.63,184884,184884,98673,98673,9,9,17,17,1,1,290576,7,1,3,0,0 + 1 part,553,99.092,1,56.58,4.59,1.93,392669,4311148,182675,182675,87708,87708,10,10,18,18
SRX2526904.scaffold,223,88,56,53,43,29,4343251,4282554,4221757,4202300,4018065,3427721,115,228109,4301251,4349904,65.49,65.63,111907,110305,58926,58926,12,13,26,26,9,8,220551,6,0,1,0,2 + 0 part,6036,98.601,1.001,11.44,13.38,2.49,228009,4292452,110215,110215,55486,55176,13,13,27,28
SRX2526905.scaffold,183,56,36,35,33,27,4321419,4292580,4254258,4245298,4209178,4005161,69,393485,4302684,4349904,65.62,65.63,192722,192722,106301,98741,9,9,16,17,2,1,192722,11,1,2,0,0 + 0 part,0,98.85,1.001,69.54,12.67,3.56,393386,4301259,185707,185707,98741,98741,9,9,17,17
SRX2526906.scaffold,100,69,43,41,34,27,4311888,4298086,4246039,4231981,4098062,3806921,81,371307,4307272,4349904,65.57,65.63,162295,157696,76175,76175,9,10,19,19,6,5,270004,13,0,0,0,0 + 1 part,852,98.898,1.001,0,14.57,2.44,371307,4304530,142953,142953,75650,71005,10,10,19,20
SRX2526907.scaffold,142,52,35,35,32,27,4314044,4293889,4261805,4261805,4201680,4044806,63,393146,4302069,4349904,65.61,65.63,205006,205006,99247,98740,8,8,15,16,2,1,192722,9,1,2,0,0 + 0 part,0,98.881,1,52.21,12.74,3.53,393146,4301026,205006,205006,98740,98740,8,8,16,16
SRX2526908.scaffold,152,53,37,36,33,26,4328082,4305772,4275750,4270447,4222342,3978210,66,393137,4315102,4349904,65.61,65.63,182631,182631,106317,106317,9,9,17,17,2,2,407286,6,0,1,0,0 + 1 part,553,99.191,1,56.5,4.64,2.09,393137,4314450,182631,182631,106317,98673,9,9,17,18
SRX2526909.scaffold,149,54,36,36,34,29,4325017,4301215,4265167,4265167,4229119,4059052,68,392667,4311681,4349904,65.61,65.63,184794,184794,98673,87650,9,9,17,18,0,0,0,7,0,2,0,0 + 0 part,0,99.07,1.001,56.59,7.03,2.25,392667,4309638,184794,184794,98673,87650,9,9,17,18
