Gene,Non-unique Gene name,Annotation,Number_pos_present_in,Number_neg_present_in,Number_pos_not_present_in,Number_neg_not_present_in,Sensitivity,Specificity,Odds_ratio,Naive_p,Bonferroni_p,Benjamini_H_p,Max_Pairwise_comparisons,Max_supporting_pairs,Max_opposing_pairs,Best_pairwise_comp_p,Worst_pairwise_comp_p
group_3993,,hypothetical protein,149,45,497,9,23.06501548,16.66666667,0.059959759,7.53E-19,9.87E-15,4.02E-15,10,3,7,0.34375,0.34375
group_307,,"[gene=PE_PGRS57] [locus_tag=BQ2027_MB3543] [db_xref=InterPro:IPR000084,UniProtKB/TrEMBL:A0A1R3Y4C9][protein=pe-pgrs family protein pe_pgrs57] [protein_id=SIU02170.1][location=3894914..3897892] [gbkey=CDS]",150,45,496,9,23.21981424,16.66666667,0.060483871,9.62E-19,1.26E-14,4.02E-15,2,1,2,0.5,1
group_252,,"[gene=PPE56b] [locus_tag=BQ2027_MB3384C] [db_xref=InterPro:IPR002989,UniProtKB/TrEMBL:A0A1R3Y3Y3][protein=PPE FAMILY PROTEIN [SECOND PART]] [protein_id=SIU02013.1][location=complement(3717545..3723679)][gbkey=CDS]",151,45,495,9,23.374613,16.66666667,0.061010101,1.23E-18,1.61E-14,4.02E-15,3,2,2,1,1
group_2255,,hypothetical protein,151,45,495,9,23.374613,16.66666667,0.061010101,1.23E-18,1.61E-14,4.02E-15,3,2,2,1,1
group_196,,hypothetical protein,152,45,494,9,23.52941176,16.66666667,0.061538462,1.56E-18,2.05E-14,4.10E-15,10,3,7,0.34375,0.34375
group_3976,,hypothetical protein,153,45,493,9,23.68421053,16.66666667,0.062068966,1.99E-18,2.61E-14,4.34E-15,2,2,1,0.5,1
group_803,,hypothetical protein,158,45,488,9,24.45820433,16.66666667,0.064754098,6.46E-18,8.47E-14,1.21E-14,4,2,3,0.625,1
group_1378,,"[gene=tbd2] [locus_tag=BQ2027_MB1297CA] [db_xref=GOA:A0A1R3XXW0,InterPro:IPR000253,InterPro:IPR003439,InterPro:IPR003593,InterPro:IPR008984,InterPro:IPR013525,InterPro:IPR027417,UniProtKB/TrEMBL:A0A1R3XXW0][protein_id=SIT99899.1] [location=complement(1414258..1416654)][gbkey=CDS]",160,45,486,9,24.76780186,16.66666667,0.065843621,1.03E-17,1.34E-13,1.68E-14,12,5,7,0.774414063,0.774414063
group_1376,,"[gene=tbd2] [locus_tag=BQ2027_MB1297CA] [db_xref=GOA:A0A1R3XXW0,InterPro:IPR000253,InterPro:IPR003439,InterPro:IPR003593,InterPro:IPR008984,InterPro:IPR013525,InterPro:IPR027417,UniProtKB/TrEMBL:A0A1R3XXW0][protein_id=SIT99899.1] [location=complement(1414258..1416654)][gbkey=CDS]",483,9,163,45,74.76780186,83.33333333,14.81595092,2.03E-17,2.66E-13,2.95E-14,12,7,5,0.774414063,0.774414063
group_11333,,"[gene=amiB2] [locus_tag=BQ2027_MB1294] [db_xref=GOA:P63493,InterPro:IPR000120,InterPro:IPR020556,InterPro:IPR023631,InterPro:IPR036928,UniProtKB/Swiss-Prot:P63493][protein=PROBABLE AMIDASE AMIB2 (AMINOHYDROLASE)][protein_id=SIT99895.1] [location=1408695..1410083][gbkey=CDS]",482,9,164,45,74.6130031,83.33333333,14.69512195,2.54E-17,3.33E-13,3.33E-14,12,7,5,0.774414063,0.774414063
group_11335,,"[gene=amiB2] [locus_tag=BQ2027_MB1294] [db_xref=GOA:P63493,InterPro:IPR000120,InterPro:IPR020556,InterPro:IPR023631,InterPro:IPR036928,UniProtKB/Swiss-Prot:P63493][protein=PROBABLE AMIDASE AMIB2 (AMINOHYDROLASE)][protein_id=SIT99895.1] [location=1408695..1410083][gbkey=CDS]",165,45,481,9,25.54179567,16.66666667,0.068607069,3.17E-17,4.16E-13,3.78E-14,12,5,7,0.774414063,0.774414063
group_3956,,hypothetical protein,168,45,478,9,26.00619195,16.66666667,0.070292887,6.15E-17,8.06E-13,6.72E-14,4,2,3,0.625,1
group_3930,,hypothetical protein,508,12,138,42,78.6377709,77.77777778,12.88405797,6.99E-17,9.17E-13,7.05E-14,7,5,5,0.453125,0.453125
